A  ˈa
CILINDRADAS  sˌilindɾˈaðas
CILINDRADO  sˌilindɾˈaðo
CILINDRADOS  sˌilindɾˈaðos
CILINDRAJE  sˌilindɾˈaxe
CILINDRAR  sˌilindɾˈaɾ
CILÍNDRICA  silˈindɾika
CILÍNDRICAS  silˈindɾikas
CILÍNDRICO  silˈindɾiko
CILÍNDRICOS  silˈindɾikos
CIMA  sˈima
CIMADA  simˈaða
CIMADAS  simˈaðas
CIMADO  simˈaðo
CIMADOS  simˈaðos
CIMAR  simˈaɾ
CIMARRÓN  sˌimarˈon
CIMAS  sˈimas
CIMBORRIO  simbˈorio
CIMBRA  sˈimbɾa
CIMBRADA  simbɾˈaða
CIMBRADAS  simbɾˈaðas
CIMBRADO  simbɾˈaðo
CIMBRADOS  simbɾˈaðos
CIMBRAR  simbɾˈaɾ
CIMBRE  sˈimbɾe
CIMBREAR  sˌimbɾeˈaɾ
CIMBRIA  sˈimbɾja
CIMBRO  sˈimbɾo
CIMBROS  sˈimbɾos
CIMENTADA  sˌimeŋtˈaða
CIMENTADAS  sˌimeŋtˈaðas
CIMENTADO  sˌimeŋtˈaðo
CIMENTADOS  sˌimeŋtˈaðos
CIMENTAR  sˌimeŋtˈaɾ
CIMENTARÁ  sˌimeŋtaɾˈa
CIMENTEL  sˌimeŋtˈel
CIMERIO  simˈeɾjo
CIMES  sˈimes
CIMIENTO  simjˈeŋto
CIMIENTOS  simjˈeŋtos
CIMITARRA  sˌimitˈara
CIMORRO  simˈoro
CIMOSAS  simˈosas
CIMOSO  simˈoso
CIMÉ  simˈe
CINAMOMO  sˌinamˈomo
CINASA  sinˈasa
CINC  sˈiŋk
CINCADO  siŋkˈaðo
CINCEL  siŋsˈel
CINCELADA  sˌiŋselˈaða
CINCELADAS  sˌiŋselˈaðas
CINCELADO  sˌiŋselˈaðo
CINCELADOS  sˌiŋselˈaðos
CINCELAR  sˌiŋselˈaɾ
CINCHA  sˈiŋtʃa
CINCHAR  siŋtʃˈaɾ
CINCHAS  sˈiŋtʃas
CINCINNATI  sˌiŋsiŋnˈati
CINCITA  siŋsˈita
CINCO  sˈiŋko
CINCO-C  sˈiŋkosˈe
CINCOMIL  sˌiŋkomˈil
CINCUENTA  siŋkwˈeŋta
CINCUENTAS  siŋkwˈeŋtas
CINCUENTAVO  sˌiŋkweŋtˈaβo
CINCUENTONA  sˌiŋkweŋtˈona
CINCUENTÓN  sˌiŋkweŋtˈon
CINE  sˈine
CINEASTA  sˌineˈasta
CINEASTAS  sˌineˈastas
CINECITTÁ  sˌinesitˈa
CINEGÉTICA  sˌinexˈetika
CINEGÉTICAS  sˌinexˈetikas
CINEGÉTICO  sˌinexˈetiko
CINEGÉTICOS  sˌinexˈetikos
CINEMA  sinˈema
CINEMATOGRAFIADA  sˌinemˌatoɣɾafjˈaða
CINEMATOGRAFIADAS  sˌinemˌatoɣɾafjˈaðas
CINEMATOGRAFIADO  sˌinemˌatoɣɾafjˈaðo
CINEMATOGRAFIADOS  sˌinemˌatoɣɾafjˈaðos
CINEMATOGRAFIAR  sˌinemˌatoɣɾafjˈaɾ
CINEMATOGRAFÍA  sˌinemˌatoɣɾafˈia
CINEMATOGRÁFICA  sˌinemˌatoɣɾˈafika
CINEMATOGRÁFICAS  sˌinemˌatoɣɾˈafikas
CINEMATOGRÁFICO  sˌinemˌatoɣɾˈafiko
CINEMATOGRÁFICOS  sˌinemˌatoɣɾˈafikos
CINEMATÓGRAFICA  sˌinematˈoɣɾafˌika
CINEMATÓGRAFICAS  sˌinematˈoɣɾafˌikas
CINEMATÓGRAFICO  sˌinematˈoɣɾafˌiko
CINEMATÓGRAFICOS  sˌinematˈoɣɾafˌikos
CINEMÁTICO  sˌinemˈatiko
CINEPLEX  sˌineplˈeks
CINERARIO  sˌineɾˈaɾjo
CINES  sˈines
CINETOSIS  sˌinetˈosis
CINGLAR  siŋɡlˈaɾ
CINISMO  sinˈismo
CINOCÉFALO  sˌinosˈefalo
CINODONTE  sˌinoðˈoŋte
CINOLÓGICO  sˌinolˈoxiko
CINTA  sˈiŋta
CINTAS  sˈiŋtas
CINTIA  sˈiŋtja
CINTILADA  sˌiŋtilˈaða
CINTILADAS  sˌiŋtilˈaðas
CINTILADO  sˌiŋtilˈaðo
CINTILADOS  sˌiŋtilˈaðos
CINTILAR  sˌiŋtilˈaɾ
CINTITA  siŋtˈita
CINTO  sˈiŋto
CINTRADO  siŋtɾˈaðo
CINTURA  siŋtˈuɾa
CINTURONES  sˌiŋtuɾˈones
CINTURÓN  sˌiŋtuɾˈon
CINZOLÍN  sˌiŋsolˈin
CINÉPOLIS  sinˈepolis
CINÉREO  sinˈeɾeo
CINÉTICO  sinˈetiko
CIO  sjˈo
CIPAYO  sipˈaʝo
CIPIONATO  sˌipjonˈato
CIPO  sˈipo
CIPOTE  sipˈote
CIPRAMIL  sˌipɾamˈil
CIPRESES  sipɾˈeses
CIPRIANO  sˌipɾjˈano
CIPROFEN  sipɾˈofen
CIPROFLOXACINA  sˌipɾoflˌoksasˈina
CIPROFLOXACINO  sˌipɾoflˌoksasˈino
CIPRÉS  sipɾˈes
CIPSELA  sipsˈela
CIPÓ  sipˈo
CIRCA  sˈiɾka
CIRCE  sˈiɾse
CIRCENSE  siɾsˈeŋse
CIRCENSES  siɾsˈeŋses
CIRCLE  sˈiɾkle
CIRCO  sˈiɾko
CIRCONIO  siɾkˈonjo
CIRCUIDO  siɾkwˈiðo
CIRCUIR  siɾkwˈiɾ
CIRCUIT  siɾkwˈit
CIRCUITAL  sˌiɾkwitˈal
CIRCUITERÍA  sˌiɾkwiteɾˈia
CIRCUITO  siɾkwˈito
CIRCUITOS  siɾkwˈitos
CIRCULA  siɾkˈula
CIRCULACIÓN  sˌiɾkulasjˈon
CIRCULADA  sˌiɾkulˈaða
CIRCULADAS  sˌiɾkulˈaðas
CIRCULADO  sˌiɾkulˈaðo
CIRCULADOS  sˌiɾkulˈaðos
CIRCULAN  siɾkˈulan
CIRCULANTE  sˌiɾkulˈaŋte
CIRCULAR  sˌiɾkulˈaɾ
CIRCULARES  sˌiɾkulˈaɾes
CIRCULARON  sˌiɾkulˈaɾon
CIRCULARÁN  sˌiɾkulaɾˈan
CIRCULATORIA  sˌiɾkulatˈoɾja
CIRCULATORIAS  sˌiɾkulatˈoɾjas
CIRCULATORIO  sˌiɾkulatˈoɾjo
CIRCULATORIOS  sˌiɾkulatˈoɾjos
CIRCULE  siɾkˈule
CIRCULITO  sˌiɾkulˈito
CIRCULO  siɾkˈulo
CIRCUMPOLAR  sˌiɾkumpolˈaɾ
CIRCUMPOLARES  sˌiɾkumpolˈaɾes
CIRCUNCENTRO  sˌiɾkuŋsˈeŋtɾo
CIRCUNCIDADA  sˌiɾkuŋsiðˈaða
CIRCUNCIDADAS  sˌiɾkuŋsiðˈaðas
CIRCUNCIDADO  sˌiɾkuŋsiðˈaðo
CIRCUNCIDADOS  sˌiɾkuŋsiðˈaðos
CIRCUNCIDAR  sˌiɾkuŋsiðˈaɾ
CIRCUNCISIÓN  sˌiɾkuŋsisjˈon
CIRCUNCISO  sˌiɾkuŋsˈiso
CIRCUNDADA  sˌiɾkundˈaða
CIRCUNDADAS  sˌiɾkundˈaðas
CIRCUNDADO  sˌiɾkundˈaðo
CIRCUNDADOS  sˌiɾkundˈaðos
CIRCUNDANDO  sˌiɾkundˈando
CIRCUNDANTE  sˌiɾkundˈaŋte
CIRCUNDANTES  sˌiɾkundˈaŋtes
CIRCUNDAR  sˌiɾkundˈaɾ
CIRCUNESTELAR  sˌiɾkunˌestelˈaɾ
CIRCUNESTELARES  sˌiɾkunˌestelˈaɾes
CIRCUNFERENCIA  sˌiɾkunfeɾˈeŋsja
CIRCUNFERENCIAL  sˌiɾkunfˌeɾeŋsjˈal
CIRCUNFERENCIALES  sˌiɾkunfˌeɾeŋsjˈales
CIRCUNFERENCIALMENTE  sˌiɾkunfˌeɾeŋsjˈalmˈeŋte
CIRCUNFERIDA  sˌiɾkunfeɾˈiða
CIRCUNFERIDAS  sˌiɾkunfeɾˈiðas
CIRCUNFERIDO  sˌiɾkunfeɾˈiðo
CIRCUNFERIDOS  sˌiɾkunfeɾˈiðos
CIRCUNFERIR  sˌiɾkunfeɾˈiɾ
CIRCUNFIJO  sˌiɾkunfˈixo
CIRCUNFLEJA  sˌiɾkunflˈexa
CIRCUNFLEJAS  sˌiɾkunflˈexas
CIRCUNFLEJO  sˌiɾkunflˈexo
CIRCUNFLEJOS  sˌiɾkunflˈexos
CIRCUNHORIZONTAL  sˌiɾkunˌoɾisoŋtˈal
CIRCUNHORIZONTALES  sˌiɾkunˌoɾisoŋtˈales
CIRCUNLOCUCIONES  sˌiɾkunlˌokusjˈones
CIRCUNLOCUCIÓN  sˌiɾkunlˌokusjˈon
CIRCUNLOQUIO  sˌiɾkunlˈokjo
CIRCUNLOQUIOS  sˌiɾkunlˈokjos
CIRCUNLUNAR  sˌiɾkunlunˈaɾ
CIRCUNNAVEGACIÓN  sˌiɾkuŋnˌaβeɣasjˈon
CIRCUNNAVEGADA  sˌiɾkuŋnˌaβeɣˈaða
CIRCUNNAVEGADAS  sˌiɾkuŋnˌaβeɣˈaðas
CIRCUNNAVEGADO  sˌiɾkuŋnˌaβeɣˈaðo
CIRCUNNAVEGADOS  sˌiɾkuŋnˌaβeɣˈaðos
CIRCUNNAVEGAR  sˌiɾkuŋnˌaβeɣˈaɾ
CIRCUNRADIO  sˌiɾkunrˈaðjo
CIRCUNSCRIBIR  sˌiɾkuŋskɾiβˈiɾ
CIRCUNSCRIPCIONAL  sˌiɾkuŋskɾˌipsjonˈal
CIRCUNSCRIPCIONALES  sˌiɾkuŋskɾˌipsjonˈales
CIRCUNSCRIPCIÓN  sˌiɾkuŋskɾipsjˈon
CIRCUNSCRIPTA  sˌiɾkuŋskɾˈipta
CIRCUNSCRIPTAS  sˌiɾkuŋskɾˈiptas
CIRCUNSCRIPTO  sˌiɾkuŋskɾˈipto
CIRCUNSCRIPTOS  sˌiɾkuŋskɾˈiptos
CIRCUNSCRITA  sˌiɾkuŋskɾˈita
CIRCUNSCRITAS  sˌiɾkuŋskɾˈitas
CIRCUNSCRITO  sˌiɾkuŋskɾˈito
CIRCUNSCRITOS  sˌiɾkuŋskɾˈitos
CIRCUNSPECCIÓN  sˌiɾkuŋspeksjˈon
CIRCUNSPECTAS  sˌiɾkuŋspˈektas
CIRCUNSPECTO  sˌiɾkuŋspˈekto
CIRCUNSPECTOS  sˌiɾkuŋspˈektos
CIRCUNSTANCIA  sˌiɾkuŋstˈaŋsja
CIRCUNSTANCIADA  sˌiɾkuŋstaŋsjˈaða
CIRCUNSTANCIADAS  sˌiɾkuŋstaŋsjˈaðas
CIRCUNSTANCIADO  sˌiɾkuŋstaŋsjˈaðo
CIRCUNSTANCIADOS  sˌiɾkuŋstaŋsjˈaðos
CIRCUNSTANCIAL  sˌiɾkuŋstaŋsjˈal
CIRCUNSTANCIALES  sˌiɾkuŋstaŋsjˈales
CIRCUNSTANCIALMENTE  sˌiɾkuŋstaŋsjˈalmˈeŋte
CIRCUNSTANCIAR  sˌiɾkuŋstaŋsjˈaɾ
CIRCUNSTANCIAS  sˌiɾkuŋstˈaŋsjas
CIRCUNSTANTE  sˌiɾkuŋstˈaŋte
CIRCUNSTANTES  sˌiɾkuŋstˈaŋtes
CIRCUNVALACIONES  sˌiɾkumbˌalasjˈones
CIRCUNVALACIÓN  sˌiɾkumbˌalasjˈon
CIRCUNVALAN  sˌiɾkumbˈalan
CIRCUNVALAR  sˌiɾkumbalˈaɾ
CIRCUNVECINA  sˌiɾkumbesˈina
CIRCUNVECINAS  sˌiɾkumbesˈinas
CIRCUNVECINO  sˌiɾkumbesˈino
CIRCUNVECINOS  sˌiɾkumbesˈinos
CIRCUNVENIDA  sˌiɾkumbenˈiða
CIRCUNVENIDAS  sˌiɾkumbenˈiðas
CIRCUNVENIDO  sˌiɾkumbenˈiðo
CIRCUNVENIDOS  sˌiɾkumbenˈiðos
CIRCUNVENIR  sˌiɾkumbenˈiɾ
CIRCUNVOLAR  sˌiɾkumbolˈaɾ
CIRCUNVOLUCIÓN  sˌiɾkumbˌolusjˈon
CIRCUSTANCIAS  sˌiɾkustˈaŋsjas
CIRCÓN  siɾkˈon
CIRENE  siɾˈene
CIRIAL  siɾjˈal
CIRIO  sˈiɾjo
CIRIOS  sˈiɾjos
CIRO  sˈiɾo
CIRQUERA  siɾkˈeɾa
CIRQUERAS  siɾkˈeɾas
CIRQUERO  siɾkˈeɾo
CIRROSIS  sirˈosis
CIRRÓTICO  sirˈotiko
CIRUELILLO  sˌiɾwelˈiʝo
CIRUELO  sˌiɾwˈelo
CIRUGÍA  sˌiɾuxˈia
CIRUGÍAS  sˌiɾuxˈias
CIRUJANA  sˌiɾuxˈana
CIRUJANAS  sˌiɾuxˈanas
CIRUJANO  sˌiɾuxˈano
CIRUJANOS  sˌiɾuxˈanos
CIRÍLICO  siɾˈiliko
CISCAR  siskˈaɾ
CISCO  sˈisko
CISIO  sˈisjo
CISJORDANA  sˌisxoɾðˈana
CISJORDANIA  sˌisxoɾðˈanja
CISJORDANIAS  sˌisxoɾðˈanjas
CISJORDANO  sˌisxoɾðˈano
CISMA  sˈisma
CISNE  sˈisne
CISNEROS  sisnˈeɾos
CISPLATINO  sˌisplatˈino
CISTERCIENSES  sˌisteɾsjˈeŋses
CISTERNA  sistˈeɾna
CISTEÍNA  sˌisteˈina
CISTICERCO  sˌistisˈeɾko
CISTICERCOSIS  sˌistiseɾkˈosis
CISTIDIO  sistˈiðjo
CISTOLITO  sˌistolˈito
CISURA  sisˈuɾa
CISURAS  sisˈuɾas
CITA  sˈita
CITACIONES  sˌitasjˈones
CITACIÓN  sˌitasjˈon
CITADA  sitˈaða
CITADAS  sitˈaðas
CITADINO  sˌitaðˈino
CITADO  sitˈaðo
CITADOS  sitˈaðos
CITALOPRAM  sˌitalˈopɾam
CITAMOS  sitˈamos
CITAN  sˈitan
CITANDO  sitˈando
CITANTE  sitˈaŋte
CITANTES  sitˈaŋtes
CITAR  sitˈaɾ
CITARA  sitˈaɾa
CITARAS  sitˈaɾas
CITAREIS  sitˈaɾeɪs
CITAREMOS  sˌitaɾˈemos
CITARES  sitˈaɾes
CITARISTA  sˌitaɾˈista
CITARÁ  sˌitaɾˈa
CITARÁS  sˌitaɾˈas
CITARÍAMOS  sˌitaɾˈiamos
CITAS  sˈitas
CITASTE  sitˈaste
CITATORIO  sˌitatˈoɾjo
CITE  sˈite
CITEMOS  sitˈemos
CITES  sˈites
CITIBANK  sˌitiβˈaŋk
CITIGROUP  sˌitiɣɾˈup
CITLALTÉPETL  sˌitlaltˈepetl
CITO  sˈito
CITOCINA  sˌitosˈina
CITOCROMO  sˌitokɾˈomo
CITOLOGÍA  sˌitoloxˈia
CITOLÓGICA  sˌitolˈoxika
CITOLÓGICAS  sˌitolˈoxikas
CITOLÓGICO  sˌitolˈoxiko
CITOLÓGICOS  sˌitolˈoxikos
CITOMEGALOVIRUS  sˌitomˌeɣaloβˈiɾus
CITOPLASMA  sˌitoplˈasma
CITOPLÁSMICO  sˌitoplˈasmiko
CITOSINA  sˌitosˈina
CITOSTÁTICA  sˌitostˈatika
CITOSTÁTICAS  sˌitostˈatikas
CITOSTÁTICO  sˌitostˈatiko
CITOSTÁTICOS  sˌitostˈatikos
CITOSÓLICA  sˌitosˈolika
CITOSÓLICAS  sˌitosˈolikas
CITOSÓLICO  sˌitosˈoliko
CITOSÓLICOS  sˌitosˈolikos
CITOTAXONÓMICA  sˌitotˌaksonˈomika
CITOTAXONÓMICAS  sˌitotˌaksonˈomikas
CITOTAXONÓMICO  sˌitotˌaksonˈomiko
CITOTAXONÓMICOS  sˌitotˌaksonˈomikos
CITOTROFOBLASTO  sˌitotɾˌofoβlˈasto
CITRATO  sitɾˈato
CITRICULTOR  sˌitɾikultˈoɾ
CITRINO  sitɾˈino
CITRÓN  sitɾˈon
CITY  sˈiti
CITYBANK  sˈɪtɪbˌaŋk
CITÁRAMOS  sitˈaɾamos
CITÓ  sitˈo
CITÓFONO  sitˈofono
CITÓLOGA  sitˈoloɣa
CITÓLOGO  sitˈoloɣo
CIUDAD  sjuðˈad
CIUDADANA  sjˌuðaðˈana
CIUDADANAS  sjˌuðaðˈanas
CIUDADANIZADA  sjˌuðaðˌanisˈaða
CIUDADANIZADAS  sjˌuðaðˌanisˈaðas
CIUDADANIZADO  sjˌuðaðˌanisˈaðo
CIUDADANIZADOS  sjˌuðaðˌanisˈaðos
CIUDADANIZAR  sjˌuðaðˌanisˈaɾ
CIUDADANO  sjˌuðaðˈano
CIUDADANOS  sjˌuðaðˈanos
CIUDADANÍA  sjˌuðaðanˈia
CIUDADE  sjuðˈaðe
CIUDADEL  sjˌuðaðˈel
CIUDADELA  sjˌuðaðˈela
CIUDADES  sjuðˈaðes
CIUDADREALEÑO  sjˌuðaðɾˌealˈeɲo
CIUDARREALEÑO  sjˌuðarˌealˈeɲo
CIVETA  siβˈeta
CIVIC  siβˈik
CIVIL  siβˈil
CIVILE  siβˈile
CIVILES  siβˈiles
CIVILISTA  sˌiβilˈista
CIVILIZACIONES  sˌiβilˌisasjˈones
CIVILIZACIÓN  sˌiβilˌisasjˈon
CIVILIZADA  sˌiβilisˈaða
CIVILIZADAS  sˌiβilisˈaðas
CIVILIZADO  sˌiβilisˈaðo
CIVILIZADOS  sˌiβilisˈaðos
CIVILIZATORIO  sˌiβilˌisatˈoɾjo
CIVISMO  siβˈismo
CIZALLA  sisˈaʝa
CIZALLAMIENTO  sˌisaʝamjˈeŋto
CIZALLAR  sˌisaʝˈaɾ
CIZAÑA  sisˈaɲa
CIZAÑADA  sˌisaɲˈaða
CIZAÑADAS  sˌisaɲˈaðas
CIZAÑADO  sˌisaɲˈaðo
CIZAÑADOS  sˌisaɲˈaðos
CIZAÑAR  sˌisaɲˈaɾ
CIÁTICAS  sjˈatikas
CIÁTICO  sjˈatiko
CIÁTICOS  sjˈatikos
CIÉNAGA  sjˈenaɣa
CIÉNEGA  sjˈeneɣa
CLABE  klˈaβe
CLAC  klˈak
CLADO  klˈaðo
CLADODIO  klaðˈoðjo
CLADOGRAMA  klˌaðoɣɾˈama
CLAIRE  klˈaɪɾe
CLAMA  klˈama
CLAMADA  klamˈaða
CLAMADAS  klamˈaðas
CLAMADO  klamˈaðo
CLAMADOS  klamˈaðos
CLAMOR  klamˈoɾ
CLAMORANTE  klˌamoɾˈaŋte
CLAMOREAR  klˌamoɾeˈaɾ
CLAMOROSO  klˌamoɾˈoso
CLAN  klˈan
CLANDESTINA  klˌandestˈina
CLANDESTINAJE  klˌandestinˈaxe
CLANDESTINAS  klˌandestˈinas
CLANDESTINIDAD  klˌandestˌiniðˈad
CLANDESTINO  klˌandestˈino
CLANDESTINOS  klˌandestˈinos
CLANES  klˈanes
CLAP  klˈap
CLAQUE  klˈake
CLAQUETA  klakˈeta
CLAQUÉ  klakˈe
CLARA  klˈaɾa
CLARAMENTE  klˈaɾamˈeŋte
CLARAS  klˈaɾas
CLARE  klˈaɾe
CLAREADA  klˌaɾeˈaða
CLAREADAS  klˌaɾeˈaðas
CLAREADO  klˌaɾeˈaðo
CLAREADOS  klˌaɾeˈaðos
CLAREAR  klˌaɾeˈaɾ
CLARET  klaɾˈet
CLARIANO  klaɾjˈano
CLARIAPRADA  klˌaɾjapɾˈaða
CLARIDAD  klˌaɾiðˈad
CLARIFICA  klˌaɾifˈika
CLARIFICACIÓN  klˌaɾifˌikasjˈon
CLARIFICADA  klˌaɾifikˈaða
CLARIFICADAS  klˌaɾifikˈaðas
CLARIFICADO  klˌaɾifikˈaðo
CLARIFICADOS  klˌaɾifikˈaðos
CLARINERO  klˌaɾinˈeɾo
CLARINETE  klˌaɾinˈete
CLARISTORIO  klˌaɾistˈoɾjo
CLARITA  klaɾˈita
CLARITAS  klaɾˈitas
CLARITO  klaɾˈito
CLARITROMICINA  klˌaɾitɾˌomisˈina
CLARIVIDENCIA  klˌaɾiβiðˈeŋsja
CLARIVIDENTES  klˌaɾiβiðˈeŋtes
CLARIÓN  klaɾjˈon
CLARK  klˈaɾk
CLARKE  klˈaɾke
CLARKS  klˈaɾks
CLARKSON  klˈaɾkson
CLARO  klˈaɾo
CLAROPERU  klˌaɾopˈeɾu
CLAROS  klˈaɾos
CLAROSCURO  klˌaɾoskˈuɾo
CLARÍN  klaɾˈin
CLASE  klˈase
CLASEMEDIERO  klˌasemeðjˈeɾo
CLASES  klˈases
CLASH  klˈaʃ
CLASICAZO  klˌasikˈaso
CLASICISMO  klˌasisˈismo
CLASICISTA  klˌasisˈista
CLASIFICA  klˌasifˈika
CLASIFICABA  klˌasifikˈaβa
CLASIFICABAN  klˌasifikˈaβan
CLASIFICACIONES  klˌasifˌikasjˈones
CLASIFICACIÓN  klˌasifikˈasjon
CLASIFICACIÓN  klˌasifˌikasjˈon
CLASIFICADA  klˌasifikˈaða
CLASIFICADAS  klˌasifikˈaðas
CLASIFICADO  klˌasifikˈaðo
CLASIFICADORA  klˌasifˌikaðˈoɾa
CLASIFICADOS  klˌasifikˈaðos
CLASIFICAN  klˌasifˈikan
CLASIFICANDO  klˌasifikˈando
CLASIFICAR  klˌasifikˈaɾ
CLASIFICARLA  klˌasifikˈaɾla
CLASIFICARON  klˌasifikˈaɾon
CLASIFICARSE  klˌasifikˈaɾse
CLASIFICARÁN  klˌasifˌikaɾˈan
CLASIFICATORIA  klˌasifˌikatˈoɾja
CLASIFICATORIO  klˌasifˌikatˈoɾjo
CLASIFICÓ  klˌasifikˈo
CLASS  klˈas
CLASSIC  klˈasɪk
CLASSICAL  klˌasikˈal
CLATRADO  klatɾˈaðo
CLAUDE  klˈaʊðe
CLAUDIA  klˈaʊðja
CLAUDICACIONES  klˌaʊðikasjˈones
CLAUDICACIÓN  klˌaʊðikasjˈon
CLAUDICADA  klˌaʊðikˈaða
CLAUDICADAS  klˌaʊðikˈaðas
CLAUDICADO  klˌaʊðikˈaðo
CLAUDICADOS  klˌaʊðikˈaðos
CLAUDICAR  klˌaʊðikˈaɾ
CLAUDINA  klaʊðˈina
CLAUDIO  klˈaʊðjo
CLAUS  klˈaʊs
CLAUSEWITZ  klˌaʊsewˈits
CLAUSTRO  klˈaʊstɾo
CLAUSTROFOBIA  klˌaʊstɾofˈoβja
CLAUSTROFÓBICA  klˌaʊstɾofˈoβika
CLAUSTROFÓBICAS  klˌaʊstɾofˈoβikas
CLAUSTROFÓBICO  klˌaʊstɾofˈoβiko
CLAUSTROFÓBICOS  klˌaʊstɾofˈoβikos
CLAUSURA  klaʊsˈuɾa
CLAUSURABAN  klˌaʊsuɾˈaβan
CLAUSURADA  klˌaʊsuɾˈaða
CLAUSURADAS  klˌaʊsuɾˈaðas
CLAUSURADO  klˌaʊsuɾˈaðo
CLAUSURADOS  klˌaʊsuɾˈaðos
CLAUSURAR  klˌaʊsuɾˈaɾ
CLAUSURÓ  klˌaʊsuɾˈo
CLAVADA  klaβˈaða
CLAVADAS  klaβˈaðas
CLAVADO  klaβˈaðo
CLAVADOS  klaβˈaðos
CLAVAR  klaβˈaɾ
CLAVARIO  klaβˈaɾjo
CLAVARSE  klaβˈaɾse
CLAVAZÓN  klˌaβasˈon
CLAVE  klˈaβe
CLAVEL  klaβˈel
CLAVES  klˈaβes
CLAVETEADA  klˌaβeteˈaða
CLAVETEADAS  klˌaβeteˈaðas
CLAVETEADO  klˌaβeteˈaðo
CLAVETEADOS  klˌaβeteˈaðos
CLAVICORDIO  klˌaβikˈoɾðjo
CLAVICULAR  klˌaβikulˈaɾ
CLAVIJA  klaβˈixa
CLAVO  klˈaβo
CLAVOS  klˈaβos
CLAVULÁNICO  klˌaβulˈaniko
CLAVÁNDOME  klaβˈandome
CLAVÍCULA  klaβˈikula
CLAXON  klˈakson
CLAY  klˈeɪ
CLAYMORE  klˈeɪmoɾ
CLEARY  kleˈaɾi
CLEFERA  klefˈeɾa
CLEISTÓGAMO  kleɪstˈoɣamo
CLEMENCEAU  klˌemeŋseˈaʊ
CLEMENCIA  klemˈeŋsja
CLEMENTE  klemˈeŋte
CLEMENTS  klemˈeŋts
CLEMOLE  klemˈole
CLEPSIDRA  klepsˈiðɾa
CLERICAL  klˌeɾikˈal
CLERICALISMO  klˌeɾikalˈismo
CLERICO  kleɾˈiko
CLERIGUITO  klˌeɾiɣˈito
CLERIZONTE  klˌeɾisˈoŋte
CLERO  klˈeɾo
CLERÉN  kleɾˈen
CLETO  klˈeto
CLEVELAND  klˌeβelˈand
CLIC  klˈik
CLICA  klˈika
CLICADA  klikˈaða
CLICADAS  klikˈaðas
CLICADO  klikˈaðo
CLICADOS  klikˈaðos
CLICANDO  klikˈando
CLICAR  klikˈaɾ
CLICAS  klˈikas
CLICHÉ  klitʃˈe
CLICHÉS  klitʃˈes
CLICK  klˈik
CLIENTAS  kljˈeŋtas
CLIENTE  kljˈeŋte
CLIENTELA  kljeŋtˈela
CLIENTELISMO  kliˌeŋtelˈismo
CLIENTES  kljˈeŋtes
CLIFF  klˈif
CLIFFORD  klifˈoɾd
CLIFTON  klˈifton
CLIMA  klˈima
CLIMAS  klˈimas
CLIMATIZADA  klˌimatisˈaða
CLIMATIZADAS  klˌimatisˈaðas
CLIMATIZADO  klˌimatisˈaðo
CLIMATIZADOS  klˌimatisˈaðos
CLIMATIZAR  klˌimatisˈaɾ
CLIMATÉRICA  klˌimatˈeɾika
CLIMATÉRICAS  klˌimatˈeɾikas
CLIMATÉRICO  klˌimatˈeɾiko
CLIMATÉRICOS  klˌimatˈeɾikos
CLIMATÓLOGA  klˌimatˈoloɣa
CLIMOGRAMA  klˌimoɣɾˈama
CLIMÁTICA  klimˈatika
CLIMÁTICAS  klimˈatikas
CLIMÁTICO  klimˈatiko
CLIMÁTICOS  klimˈatikos
CLINDAMICINA  klˌindamisˈina
CLINIC  klˈɪnɪk
CLINODACTILIA  klˌinoðaktˈilja
CLINTON  klˈiŋton
CLINTONISMO  klˌiŋtonˈismo
CLIP  klˈip
CLIPS  klˈips
CLIQUE  klˈike
CLIQUEADA  klˌikeˈaða
CLIQUEADAS  klˌikeˈaðas
CLIQUEADO  klˌikeˈaðo
CLIQUEADOS  klˌikeˈaðos
CLIQUEAR  klˌikeˈaɾ
CLITÓRICO  klitˈoɾiko
CLIVE  klˈiβe
CLOACA  kloˈaka
CLOACAL  klˌoakˈal
CLOCAR  klokˈaɾ
CLOCH  klˈotʃ
CLOCHE  klˈotʃe
CLOCHES  klˈotʃes
CLOCÁ  klokˈa
CLON  klˈon
CLONACIÓN  klˌonasjˈon
CLONADA  klonˈaða
CLONADAS  klonˈaðas
CLONADO  klonˈaðo
CLONADOS  klonˈaðos
CLONES  klˈones
CLOQUE  klˈoke
CLOQUEADA  klˌokeˈaða
CLOQUEADAS  klˌokeˈaðas
CLOQUEADO  klˌokeˈaðo
CLOQUEADOS  klˌokeˈaðos
CLOQUEAR  klˌokeˈaɾ
CLOQUEASE  klˌokeˈase
CLOQUEO  klokˈeo
CLOQUÉ  klokˈe
CLORADA  kloɾˈaða
CLORADAS  kloɾˈaðas
CLORADO  kloɾˈaðo
CLORADOS  kloɾˈaðos
CLORHEXIDINA  klˌoɾeksiðˈina
CLORHÍDRICO  kloɾˈiðɾiko
CLORINADA  klˌoɾinˈaða
CLORINADAS  klˌoɾinˈaðas
CLORINADO  klˌoɾinˈaðo
CLORINADOS  klˌoɾinˈaðos
CLORITO  kloɾˈito
CLORO  klˈoɾo
CLOROALQUINO  klˌoɾoalkˈino
CLOROFILA  klˌoɾofˈila
CLOROFLUOCARBONO  klˌoɾoflwˌokaɾβˈono
CLOROFLUOCARBONOS  klˌoɾoflwˌokaɾβˈonos
